2021/07/07 19:39:16 nsqlookupd v0.2.16
2021/07/07 19:39:16 HTTP: listening on [::]:4161
2021/07/07 19:39:16 TCP: listening on [::]:4160
2021/07/07 19:39:33 TCP: new client(127.0.0.1:43564)
2021/07/07 19:39:33 CLIENT(127.0.0.1:43564): desired protocol 538990129
2021/07/07 19:39:33 CLIENT(127.0.0.1:43564) registered TCP:4150 HTTP:4151 address:10-23-221-156
2021/07/07 19:39:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000619581s)
2021/07/07 19:40:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999915944s)
2021/07/07 19:40:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999947883s)
2021/07/07 19:40:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000078905s)
2021/07/07 19:40:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.001272368s)
2021/07/07 19:41:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.9986877s)
2021/07/07 19:41:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000089096s)
2021/07/07 19:41:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999915462s)
2021/07/07 19:41:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999933577s)
2021/07/07 19:42:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000053354s)
2021/07/07 19:42:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999995965s)
2021/07/07 19:42:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000064692s)
2021/07/07 19:42:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999950368s)
2021/07/07 19:43:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000011533s)
2021/07/07 19:43:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000011426s)
2021/07/07 19:43:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999981675s)
2021/07/07 19:43:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999994646s)
2021/07/07 19:44:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000091186s)
2021/07/07 19:44:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999976918s)
2021/07/07 19:44:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999922294s)
2021/07/07 19:44:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000077958s)
2021/07/07 19:45:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999947153s)
2021/07/07 19:45:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000042531s)
2021/07/07 19:45:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999932699s)
2021/07/07 19:45:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000154955s)
2021/07/07 19:46:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999920485s)
2021/07/07 19:46:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999997403s)
2021/07/07 19:46:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999947923s)
